PWS ID,PWS Name,Primacy Agency,Population Served,Violation Type,Compliance Period Begin Date,Compliance Status
MI0040497,THREE MILE LAKE TRAILER PARK,Michigan,112,Follow-up Or Routine LCR Tap M/R,01-OCT-2014,Returned to Compliance
MI0040561,WHITE BIRCH ESTATES,Michigan,86,Follow-up Or Routine LCR Tap M/R,01-OCT-2014,Returned to Compliance
MI0062942,HALE CREEK MANOR,Michigan,43,Follow-up Or Routine LCR Tap M/R,01-JUL-2015,Returned to Compliance
MI0320500,PERRIGO'S MILLER BUILDLING,Michigan,45,Initial Tap Sampling for Pb and Cu,01-JAN-2015,Open
MI0320591,STU BOUWMAN,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI0320654,MICHIGAN FINE HERBS,Michigan,60,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI0320667,Lakeshore Little People's Place,Michigan,26,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI0420126,WILSON COMMUNITY SCHOOL,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI0420130,HINKS SCHOOL,Michigan,225,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI0520106,NORTH CENTRAL ACADEMY,Michigan,215,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI0520167,BELLAIRE FAMILY HEALTH CENTER,Michigan,70,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI0520167,BELLAIRE FAMILY HEALTH CENTER,Michigan,70,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Returned to Compliance
MI0620002,STANDISH-STERLING MS,Michigan,563,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI0620020,STERLING ELEM SCHOOL,Michigan,220,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI0620207,STANDISH/STERLING H.S.,Michigan,330,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI0820093,DELTON EHS,Michigan,49,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI0820211,COMMUNITY ACTION,Michigan,53,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI0820359,ADVANCED ORTHOPEDIC & PAIN INSTITUTE,Michigan,78,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI0820360,NORTHTOWN CENTER,Michigan,29,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI1320041,OAKLAWN LIFE IMPROVEMENT CTR,Michigan,75,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
MI1320054,SONOMA ELEMENTARY SCHOOL,Michigan,300,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI1320054,SONOMA ELEMENTARY SCHOOL,Michigan,300,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Open
MI1320054,SONOMA ELEMENTARY SCHOOL,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI1320056,BEADLE LAKE ELEMENTARY,Michigan,325,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI1320067,WATTLES PARK ELEMENTARY SCHOOL,Michigan,325,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI1320067,WATTLES PARK ELEMENTARY SCHOOL,Michigan,325,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI1320192,EAST LEROY ELEMENTARY,Michigan,360,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI1420076,BROOKSIDE LEARNING CENTER,Michigan,60,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI1420148,PREMIER TOOL AND DIE,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI1420295,LEWIS CASS INT. SCHOOL DIST.,Michigan,75,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI1420324,"LYONS INDUSTRIES, INC",Michigan,100,Initial Tap Sampling for Pb and Cu,01-JUL-2014,Returned to Compliance
MI1520148,BURNETTE FOODS,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI1520178,CHARLEVOIX HIGH SCHOOL,Michigan,400,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI1620209,TUBE FAB/ROMAN ENGINEERING,Michigan,150,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI1820023,MID-MICHIGAN COMM COLLEGE,Michigan,750,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI1820081,CLARE COUNTY RD COMMISSION,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI1920159,OVID-ELSIE HIGH SCHOOL,Michigan,950,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2020006,AVITA ARTESIAN WATER,Michigan,"1,000",Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI2020064,GRAYLING HIGH SCHOOL,Michigan,500,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Open
MI2020076,GEORGIA-PACIFIC CHEMICALS LLC,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2020167,CHARLIES COUNTY CORNER,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2020168,CRAWFORD AUSABLE DAYCARE,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI2120206,COUNTRY SCHOOLHOUSE DAY CARE,Michigan,68,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2120212,Hyde Properties,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI2320066,GRAND LEDGE FORD,Michigan,49,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2320088,L & W ENGINEERING CO.,Michigan,70,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2320288,"AUTOPORT, LIMITED",Michigan,75,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
MI2320288,"AUTOPORT, LIMITED",Michigan,75,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
MI2320288,"AUTOPORT, LIMITED",Michigan,75,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI2420057,PETOSKEY PLASTICS,Michigan,130,Initial Tap Sampling for Pb and Cu,01-JUL-2014,Returned to Compliance
MI2420147,MANTHEI INC.,Michigan,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2420158,MOELLER AEROSPACE TECHNOLOGY,Michigan,180,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2420212,ZD METAL PRODUCTS,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI2420255,ST. MICHAEL ACADEMY,Michigan,32,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2420292,J.R. WATSON COMMUNITY CENTER,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2420293,MICHIGAN DEPARTMENT OF HUMAN SERVICES,Michigan,46,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2420298,CREEKSIDE CROSSING,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2420346,PRESTON FEATHER BUILDING CENTER,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2420371,OLESON'S FOOD STORE,Michigan,400,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2420384,CONCORD CONDOMINIUMS,Michigan,45,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2520452,DIECK ELEMENTARY,Michigan,326,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2520574,GOODRICH HIGH SCHOOL,Michigan,420,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2520635,GAINES ELEMENTARY SCHOOL,Michigan,320,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2520797,BURKLAND INC,Michigan,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2520892,LINDEN CHILD DEVELOPMENT CENTER,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2521283,ST THOMAS MORE ACADEMY,Michigan,139,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2521493,DOODLE BUGS DAYCARE,Michigan,75,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2521575,WEYI TV 25,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2521589,ERNIES PARTY STORE & DAY CARE CENTER,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JAN-2014,Returned to Compliance
MI2521589,ERNIES PARTY STORE & DAY CARE CENTER,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Returned to Compliance
MI2521589,ERNIES PARTY STORE & DAY CARE CENTER,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JAN-2013,Returned to Compliance
MI2521589,ERNIES PARTY STORE & DAY CARE CENTER,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
MI2820036,FIFE LAKE ELEMENTARY SCHOOL,Michigan,166,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2820066,CHERRYLAND ELECTRIC COOPERATIV,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI2820067,"CHERRY GROWERS, INC.",Michigan,500,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI2820123,The Hillshire Brands Company,Michigan,450,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2820123,The Hillshire Brands Company,Michigan,450,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI2820211,42ND STREET PLAZA,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2820217,WOODLAND SCHOOL,Michigan,200,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI2820234,"Shoreline Fruit, LLC",Michigan,90,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2820244,K-MART #3720,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI2820244,K-MART #3720,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI2820244,K-MART #3720,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI2820244,K-MART #3720,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI2820339,ELMER'S CRANE & DOZER,Michigan,70,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI2820384,HARTMAN HILLS MARKETPLACE,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI3320028,ALAIEDON ELEMENTARY SCHOOL,Michigan,400,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI3320169,VLAHAKIS MANAGEMENT COMPANY,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JAN-2013,Open
MI3320202,DART CONTAINER III,Michigan,225,Initial Tap Sampling for Pb and Cu,01-JAN-2015,Open
MI3320202,DART CONTAINER III,Michigan,225,Initial Tap Sampling for Pb and Cu,01-JAN-2014,Open
MI4020002,RAPID CITY ELEMENTARY SCHOOL,Michigan,360,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI4020002,RAPID CITY ELEMENTARY SCHOOL,Michigan,360,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI4020074,CRAWFORD EXCELSIOR SCHOOL DISTRICT #1,Michigan,46,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI4120431,KENT POWER INC.,Michigan,40,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Returned to Compliance
MI4320130,FIVE CAP - LAKE COUNTY,Michigan,56,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI4420377,IMLAY CITY CHRISTIAN SCHOOL,Michigan,130,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI4520019,LELAND PUBLIC SCHOOL DISTRICT 2,Michigan,485,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI4520028,BLUEBIRD RESTAURANT & BAR,Michigan,450,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI4720919,EXCELDA MANUFACTURING - EAST BLDG. B,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI4920671,CEDAR COVE MANOR,Michigan,32,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI5020082,ARMADA HIGH SCHOOL,Michigan,526,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5020108,ADAM'S CORNER,Michigan,125,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI5020108,ADAM'S CORNER,Michigan,125,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5020170,SACRED HEART REHABILITATION,Michigan,200,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI5020201,ROMEO PROFESSIONAL CTR,Michigan,34,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI5020353,TK Holdings,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI5020364,TK Holdings,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI5120001,BRETHREN HIGH SCHOOL,Michigan,380,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI5120001,BRETHREN HIGH SCHOOL,Michigan,380,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI5120056,MANISTEE ISD - Admin Office,Michigan,35,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Returned to Compliance
MI5320131,VICTORY EARLY CHILDHOOD CENTER,Michigan,60,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5320204,WEST SHORE COMMUNITY COLLEGE,Michigan,"1,500",Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI5320219,Indian Summer CO-OP,Michigan,150,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Returned to Compliance
MI5420075,ST MICHAEL SCHOOL,Michigan,150,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI5420078,CHIPPEWA HILLS HIGH SCHOOL,Michigan,617,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5420079,BARRYTON ELEMENTARY SCHOOL,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5420256,HOPE NETWORK,Michigan,150,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI5420320,BROCKWAY WESLEYAN CHURCH,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI5420393,NESTLE WATERS NORTH AMERICA,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI5420415,HUNTEY CLUBHOUSE,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI5520017,BARK RIVER-HARRIS SCHOOLS,Michigan,770,Initial Tap Sampling for Pb and Cu,01-JUL-2012,Returned to Compliance
MI5520138,NORTH CENTRAL AREA ELEM SCHOOL,Michigan,259,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI5720026,BAKER COLLEGE OF LAKE CITY,Michigan,150,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
MI5720026,BAKER COLLEGE OF LAKE CITY,Michigan,150,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI5720058,NMCAA LAKE CITY CHILD DEVELOPMENT,Michigan,60,Initial Tap Sampling for Pb and Cu,01-JAN-2013,Returned to Compliance
MI5720103,LAKE CITY FORGE INC,Michigan,175,Initial Tap Sampling for Pb and Cu,01-JAN-2011,Returned to Compliance
MI5720103,LAKE CITY FORGE INC,Michigan,175,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI5720103,LAKE CITY FORGE INC,Michigan,175,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI5720103,LAKE CITY FORGE INC,Michigan,175,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI5720105,WEXFORD/MISSAUKEE DHS,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI5720105,WEXFORD/MISSAUKEE DHS,Michigan,30,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI5920043,VESTABURG HIGH SCHOOL,Michigan,300,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Open
MI5920043,VESTABURG HIGH SCHOOL,Michigan,300,Initial Tap Sampling for Pb and Cu,01-JUL-2014,Returned to Compliance
MI5920043,VESTABURG HIGH SCHOOL,Michigan,300,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Returned to Compliance
MI5920561,Ed Koehn Ford,Michigan,30,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI5920567,Grattan Academy,Michigan,215,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI6020023,LEWISTON K-6 SCHOOL,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI6020093,ALBERT TWP SYSTEM 1,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI6020136,NORTHWEST HARDWOODS,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI6120171,SUN CHEMICAL COMPANY,Michigan,170,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Open
MI6120214,REETHS PUFFER/TWIN LAKE ELEMEN,Michigan,270,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Open
MI6120386,GREAT LAKES FORD,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI6220082,GRANT CHRISTIAN SCHOOL,Michigan,80,Initial Tap Sampling for Pb and Cu,01-JAN-2014,Returned to Compliance
MI6220082,GRANT CHRISTIAN SCHOOL,Michigan,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI6220251,FIVE CAP INC - NEWAYGO CENTER,Michigan,119,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI6220251,FIVE CAP INC - NEWAYGO CENTER,Michigan,119,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI6320316,WEE FRIENDS,Michigan,40,Initial Tap Sampling for Pb and Cu,01-JAN-2012,Returned to Compliance
MI6321596,"ADVANCED AUTO TRENDS, INC.",Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI6322183,ADVANCED AUTO TRENDS,Michigan,60,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI6322307,MILFORD COUNTRY DAY CHILD CARE,Michigan,75,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI6322855,CENTER STREET STATION,Michigan,55,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Open
MI6420020,WALKERVILLE ELEM/MIDDLE/HIGH,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI6420203,ARBRE FARMS CORPORATION,Michigan,240,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI6420231,PETERSON FARMS,Michigan,450,Initial Tap Sampling for Pb and Cu,01-JAN-2013,Returned to Compliance
MI6420330,Heaven Sent Natural Spring Water,Michigan,26,Initial Tap Sampling for Pb and Cu,01-JAN-2014,Returned to Compliance
MI6520157,OGEMAW HEIGHTS HIGH SCHOOL,Michigan,845,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Returned to Compliance
MI6720049,TUBELITE ARCH PRODUCTS,Michigan,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI6920178,CARD COMMERCIAL PARK WATER SYSTEM CORP.,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI7020301,SOUTH OLIVE CHRISTIAN SCHOOL,Michigan,63,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7020390,OAISD - SHELDON PINES SCHOOL,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI7020565,SPRING MEADOW NURSERY INC.,Michigan,220,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7020605,"DEWITT BARRELS, INC.",Michigan,80,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
MI7020605,"DEWITT BARRELS, INC.",Michigan,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7120120,O-N Minerals (MI) Co. dba Carmeuse Lime & Sto,Michigan,25,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
MI7120120,O-N Minerals (MI) Co. dba Carmeuse Lime & Sto,Michigan,25,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI7120158,ROGERS CITY BAPTIST CHURCH,Michigan,200,Initial Tap Sampling for Pb and Cu,01-JUL-2010,Returned to Compliance
MI7120158,ROGERS CITY BAPTIST CHURCH,Michigan,200,Initial Tap Sampling for Pb and Cu,01-JAN-2010,Returned to Compliance
MI7220091,Charlton Heston Academy,Michigan,230,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI7220146,ROSCOMMON HIGH SCHOOL,Michigan,500,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Open
MI7220146,ROSCOMMON HIGH SCHOOL,Michigan,500,Initial Tap Sampling for Pb and Cu,01-JUL-2014,Returned to Compliance
MI7220266,"J & J CHRISMAN, LLC",Michigan,300,Initial Tap Sampling for Pb and Cu,01-JAN-2015,Returned to Compliance
MI7220406,HOME DEPOT #2769,Michigan,"1,500",Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI7220411,Lakeside Resort and Conf. Center,Michigan,250,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI7220462,McDonalds #1,Michigan,"1,500",Initial Tap Sampling for Pb and Cu,01-JUL-2015,Open
MI7320154,MCDONALDS OF CHESANING,Michigan,200,Initial Tap Sampling for Pb and Cu,01-JAN-2015,Returned to Compliance
MI7420014,John Farrell Elementary School,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI7420023,Michigan Precision Swiss Parts,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI7420023,Michigan Precision Swiss Parts,Michigan,35,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7420066,Avoca Elementary School,Michigan,200,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI7520092,COLON PUBLIC SCHLEONIDAS ELEM,Michigan,110,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI7520170,I-MED,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7520187,BANKS HARDWOODS,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7620147,COLE CARBIDE INDUSTRIES INC,Michigan,34,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI7620174,SANILAC COUNTY_FIA,Michigan,161,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI7820071,Morrice High School,Michigan,300,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI7820077,Morrice Area Schools,Michigan,405,Follow-up Or Routine LCR Tap M/R,01-JAN-2013,Returned to Compliance
MI7820096,Shiawassee RESD,Michigan,110,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI7820135,SPRING VALE ACADEMY,Michigan,50,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7820204,Graham Community Church Shaftsburg,Michigan,200,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI7820318,Signature Ford Perry,Michigan,25,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI7820347,Home Depot  #2772,Michigan,75,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Open
MI7920326,AKRON - FAIRGROVE HIGH SCHOOL,Michigan,204,Follow-up Or Routine LCR Tap M/R,01-JAN-2014,Returned to Compliance
MI7920391,JUNIATA BAPTIST CHRISTIAN SCH.,Michigan,120,Follow-up Or Routine LCR Tap M/R,01-JAN-2015,Returned to Compliance
MI7920846,FOSTORIA BAPTIST CHURCH,Michigan,400,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI7921001,TUSCOLA CO RD COMM,Michigan,52,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI7921010,COOK CHEVROLET BUICK,Michigan,74,Follow-up Or Routine LCR Tap M/R,01-JAN-2016,Returned to Compliance
MI7921032,MC DONALD'S CHEVROLET,Michigan,50,Initial Tap Sampling for Pb and Cu,01-JAN-2016,Open
MI8020125,SUNNYBROOK RESORT LLC,Michigan,724,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI8020125,SUNNYBROOK RESORT LLC,Michigan,724,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI8020265,COCA COLA REFRESHMENTS,Michigan,540,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
MI8020314,BURNETTE FOODS,Michigan,80,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI8020336,HONEE BEAR CANNING,Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2011,Returned to Compliance
MI8020565,MBG MARKETING,Michigan,62,Initial Tap Sampling for Pb and Cu,01-JUL-2011,Returned to Compliance
MI8120092,FREEMAN ELEMENTARY SCHOOL,Michigan,200,Follow-up Or Routine LCR Tap M/R,01-JAN-2010,Returned to Compliance
MI8120126,STONY CREEK UNITED METHODIST,Michigan,120,Initial Tap Sampling for Pb and Cu,01-JUL-2015,Returned to Compliance
MI8120327,"A & L ENTERPRISES, LLC.",Michigan,100,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI8120403,CORRIGAN MOVING SYSTEMS,Michigan,45,Follow-up Or Routine LCR Tap M/R,01-JAN-2012,Returned to Compliance
MI8120608,CHAMPION WATER,Michigan,100,Initial Tap Sampling for Pb and Cu,01-JUL-2013,Returned to Compliance
